N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
1;È ineseguibile l'atto amministrativo che:;non può spiegare i suoi effetti per il sopravvenire di un atto ostativo.;è inidoneo a produrre gli effetti giuridici propri perché non si sono ancora verificati i requisiti di efficacia.;non ha ancora concluso il suo ciclo di formazione.;presenta un vizio alla cui presenza la legge non commina conseguenze negative per l'atto stesso.;
2;Quando viene ritirato un precedente atto amministrativo, ampliativo delle facoltà del privato in caso di inadempimento di obblighi, mancato esercizio di facoltà o venir meno di requisiti di idoneità, si pone in essere un provvedimento di:;pronuncia di decadenza dell'atto amministrativo.;mero ritiro dell'atto amministrativo.;sospensione dell'atto amministrativo;annullamento d'ufficio dell'atto amministrativo;
3;La convalida dell'atto amministrativo:;differisce dalla conversione in quanto questa tende solo a conservare alcuni effetti dell'atto stesso, mentre la convalida mira a rendere l'atto stabile e sicuro in tutti gli effetti che gli sono propri.;è un provvedimento nuovo, autonomo, costitutivo, che elimina i vizi di legittimità di un atto invalido precedentemente emanato da diversa autorità.;come l'acquiescenza elimina il vizio dell'atto.;è un provvedimento che esclude la possibilità di ritiro, da parte della P.A., della stessa convalida anche se in presenza di interesse pubblico prioritario.;
4;Costituisce vizio di legittimità dell'atto amministrativo per violazione di legge:;la mancanza di motivazione.;l'illogicità o contraddittorietà della motivazione.;la violazione di circolare.;la contraddittorietà tra più atti.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
5;Contro gli atti amministrativi definitivi:;è ammissibile ricorso amministrativo straordinario al Presidente della Repubblica.;non è ammissibile ricorso giurisdizionale al T.A.R.;è sempre ammissibile ricorso amministrativo gerarchico.;non è ammissibile ricorso amministrativo straordinario al Presidente della Repubblica.;
6;La convalida dell'atto amministrativo:;è un provvedimento nuovo, autonomo, costitutivo, che elimina i vizi di legittimità di un atto invalido precedentemente emanato dalla stessa autorità.;può ricorrere anche in caso di atto viziato per eccesso di potere. sotto forma di sviamento.;come l'acquiescenza può provenire solo dall'autore dell'atto o da un organo superiore.;come la conversione tende solo a conservare alcuni effetti dell'atto stesso.;
7;In relazione all’efficacia, gli atti amministrativi si distinguono in:;atti costitutivi e atti dichiarativi.;atti vincolati e atti non vincolati.;atti sostitutivi e atti dichiarativi.;atti obbligatori e atti facoltativi.;
8;In relazione alla reciproca interdipendenza, gli atti amministrativi si distinguono in:;atti composti e atti contestuali.;atti composti e atti semplici.;atti assoluti e atti relativi.;atti plurimi e atti contestuali.;
9;Il mero ritiro dell'atto amministrativo ricorre:;quando viene ritirato un atto amministrativo non ancora efficace.;quando viene modificato parzialmente un precedente atto amministrativo.;quando si differisce il termine di efficacia di un precedente provvedimento.;quando, per sopraggiunte cause di interesse pubblico, non si riconosce al concessionario il diritto di insistenza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;;RISPOSTA2;RISPOSTA3;RISPOSTA4;
10;Un ricorso amministrativo presentato ad autorità diversa da quella indicata nell'atto è dichiarato:;inammissibile.;nullo.;irricevibile.;revocabile.;
11;In relazione al procedimento, gli atti amministrativi si distinguono in atti procedimentali e atti presupposti. Sono atti amministrativi procedimentali:;gli atti che si inseriscono in un procedimento amministrativo e sono tra loro coordinati e preordinati all'adozione di un provvedimento amministrativo.;gli atti che, pur rilevando ai fini della produzione dell'effetto giuridico finale, acquistano un rilievo autonomo in seno al procedimento amministrativo o costituiscono atto finale di un procedimento autonomo.;gli atti formati da più manifestazioni di volontà così strettamente unite che si considerano un solo atto, per cui il difetto di una di esse si risolve nel difetto di tutto l'atto.;gli atti che risultano dalla riunione di più atti autonomi in un'unica manifestazione esteriore.;
12;L'illogicità o contraddittorietà della motivazione dell'atto amministrativo:;costituisce figura sintomatica di vizio di legittimità dell'atto amministrativo per eccesso di potere.;costituisce vizio di legittimità dell'atto amministrativo per violazione di legge.;costituisce vizio di legittimità dell'atto amministrativo per incompetenza.;non costituisce vizio di legittimità dell'atto amministrativo.;
