N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
1;Si configura il reato,  previsto e punito dal codice penale, di falsità ideologica, commessa dal pubblico ufficiale in atti pubblici, quando il pubblico ufficiale:;ricevendo o formando un atto nell’esercizio delle sue funzioni, attesta falsamente che un fatto è stato da lui compiuto o è avvenuto alla sua presenza.;nell’esercizio delle sue funzioni, contraffà o altera certificati o autorizzazioni amministrative.;nell’esercizio delle sue funzioni, attesta falsamente, in certificati o autorizzazioni amministrative, fatti dei quali l’atto è destinato a provare la verità.;nell’esercizio delle sue funzioni, forma, in tutto o in parte,  un atto falso o altera un atto vero.
2;Secondo le norme  penali vigenti quale dei seguenti delitti è un delitto contro la pubblica amministrazione?;Peculato.;Appropriazione indebita.;Omessa denuncia di reato da parte  di pubblico ufficiale.;Contraffazione del sigillo dello stato.
3;A norma  del Codice Penale, per poter legittimamente invocare lo stato di necessità, l’oggetto del pericolo deve  essere:;un danno grave alla persona propria o altrui.;un danno grave  al patrimonio o alla persona che invoca lo stato di necessità.;un danno grave  al patrimonio o alla persona del soggetto passivo del reato.;esclusivamente un danno grave  alla persona che invoca lo stato di necessità.
4;L’esecuzione della pena è obbligatoriamente differita, viste le disposizioni del codice penale:;se deve aver luogo nei confronti di persona affetta da AIDS conclamata.;se deve  aver luogo nei confronti di madre di infante di età inferiore a 18 mesi.;se deve  aver luogo nei confronti di madre di infante di età inferiore ad anni 3.;se deve  aver luogo nei confronti di persona affetta da AIDS conclamata o, comunque, che si trovi in condizioni di grave  infermità fisica.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
5;La remissione di querela, prevista dall'art. 152 c.p., può essere sottoposta a termini o a condizioni?;No.;Sì, ma solo col consenso del querelato.;Sì, con il consenso del querelante, del querelato e del Pubblico Ministero.;Sì, ma solo col consenso del querelante.
6;Il pagamento della somma corrispondente all’oblazione nelle contravvenzioni penali punite con la sola ammenda, con riferimento alle disposizioni del codice penale, deve  avvenire:;prima dell’apertura del dibattimento o prima del decreto di condanna.;prima della chiusura del dibattimento.;prima dell’udienza di rinvio a giudizio.;prima del deposito della sentenza o del decreto di condanna.
7;I soggetti legittimati a richiedere il risarcimento del danno causato dal reato,  in base alle disposizioni del codice penale, sono:;tutti  i soggetti che dal reato abbiano subito un danno.;sempre il soggetto passivo del reato  e, per i soli reati perseguibili a querela, anche il querelante e tutti i soggetti che dal reato abbiano subito un danno.;sempre il soggetto passivo del reato  e, per i soli reati perseguibili a querela, anche le persone danneggiate dal reato.;sempre il soggetto passivo del reato  e, per i soli reati perseguibili a querela, anche il querelante.
8;La sorveglianza della persona in stato di libertà vigilata, ai sensi del vigente codice penale, è affidata:;all’Autorità di Pubblica Sicurezza.;al Giudice che ha imposto la misura.;al personale della Polizia Penitenziaria.;al personale dell’Arma dei Carabinieri.
