N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
1;A norma della L. n. 354/1975 e ss.mm.ii., il trattamento penitenziario si conforma a modelli che favoriscono, tra l'altro:;l'integrazione.;la dipendenza.;l'isolamento.;l'omologazione.;
2;Secondo quanto statuito dalla L. n. 354/1975 e ss.mm.ii., le spese per l'esecuzione delle pene e delle misure di sicurezza detentive:;sono a carico dello Stato.;sono a carico delle Regioni.;sono ripartite in egual misura tra lo Stato e le Regioni.;sono a carico dei Comuni.;
3;A norma della L. n. 354/1975 e ss.mm.ii. la permanenza all'aperto del detenuto può essere ridotta?;Sì, può essere ridotta, per giustificati motivi, fino a due ore al giorno con provvedimento del direttore dell'istituto.;Sì, può essere ridotta, per giustificati motivi, fino a tre ore al giorno con provvedimento del direttore dell'istituto.;Sì, può essere ridotta, per giustificati motivi, fino a tre ore al giorno con provvedimento del Magistrato di sorveglianza.;No, in nessun caso.;
4;"""Per giustificati motivi la permanenza all'aperto del detenuto può essere ridotta fino a due ore al giorno con provvedimento dell'Ufficio di sorveglianza"". Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., tale affermazione è:";errata, poiché la permanenza all'aperto può essere ridotta con provvedimento del direttore dell'istituto.;corretta.;errata, poiché la permanenza all'aperto può essere ridotta con provvedimento del Tribunale di sorveglianza, sentito il Provveditore regionale territorialmente competente.;errata, poiché la permanenza all'aperto può essere ridotta con provvedimento del Capo del Dipartimento dell’Amministrazione Penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
5;Ai sensi della L. n. 354/1975 e ss.mm.ii., il provvedimento del direttore dell'istituto che riduce, per giustificati motivi, il tempo di permanenza all'aperto del detenuto, deve essere comunicato:;al Provveditore regionale dell'Amministrazione penitenziaria e al Magistrato di sorveglianza.;esclusivamente al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria e al Capo del Dipartimento dell'Amministrazione penitenziaria.;al Tribunale di sorveglianza e al Capo del Dipartimento dell'Amministrazione penitenziaria.;
6;"Così come disposto dall'art. 10 (""Permanenza all'aperto"") della L. n. 354/1975 e ss.mm.ii., ai soggetti che non prestano lavoro all'aperto è consentito di permanere all'aria aperta per un tempo:";non inferiore alle quattro ore al giorno.;non inferiore alle due ore al giorno.;non inferiore alle tre ore al giorno.;non inferiore ai sessanta minuti al giorno.;
7;A norma della L. n. 354/1975 e ss.mm.ii., gli internati possono richiedere di essere visitati a proprie spese da un esercente di una professione sanitaria di loro fiducia?;Sì, previa autorizzazione del direttore dell'istituto.;Sì, previa autorizzazione del Magistrato di sorveglianza.;No, in nessun caso.;Sì, previa autorizzazione del Provveditore regionale territorialmente competente.;
8;A norma della L. n. 354/1975 e ss.mm.ii., le visite degli istituti di prevenzione e di pena, allo scopo di accertare l'adeguatezza delle misure di profilassi contro le malattie infettive e le condizioni igieniche e sanitarie degli istituti, sono disposte:;dal direttore generale dell'Azienda Unità Sanitaria.;dal direttore dell'istituto.;dall'Istituto Superiore di Sanità.;dal Capo del Dipartimento dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
9;"""Il Direttore generale dell'Azienda Unità Sanitaria dispone la visita almeno due volte l'anno degli istituti di prevenzione e di pena, allo scopo di accertare le condizioni igieniche e sanitarie degli istituti."" Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., tale affermazione è:";corretta.;errata, poiché la visita è disposta dal Capo del Dipartimento dell'Amministrazione Penitenziaria.;errata, poiché la visita è disposta dal Ministero delle Salute per il tramite del Capo del Dipartimento della prevenzione, della ricerca e delle emergenze sanitarie.;errata, poiché la visita è disposta dal Provveditore regionale territorialmente competente.;
10;Secondo la disciplina della L. n. 354/1975 e ss.mm.ii., con quale cadenza gli istituti penitenziari e gli istituti a custodia attenuata per detenute madri trasmettono al Procuratore della Repubblica presso il Tribunale per i minorenni del luogo ove hanno sede l'elenco di tutti i minori collocati presso di loro?;Semestralmente.;Annualmente.;Trimestralmente.;Mensilmente.;
11;Il regime di sorveglianza particolare, di cui all'art. 14-bis della L. n. 354/1975 e ss.mm.ii., è disposto:;con provvedimento motivato dell'Amministrazione penitenziaria previo parere del Consiglio di disciplina integrato da due esperti ex art. 80 della medesima legge.;dal Magistrato di sorveglianza, previo parere del Provveditore regionale dell'Amministrazione penitenziaria.;con provvedimento del Consiglio di disciplina.;con provvedimento del Consiglio di disciplina, previo parere del Tribunale di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
12;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., i condannati che con i loro comportamenti compromettono la sicurezza ovvero turbano l'ordine negli istituti possono essere sottoposti a regime di sorveglianza particolare:;per un periodo non superiore a sei mesi, prorogabile anche più volte in misura non superiore ogni volta a tre mesi.;per un periodo non superiore a dodici mesi, prorogabile anche più volte in misura non superiore ogni volta a tre mesi.;per un periodo non superiore a sei mesi, prorogabile una sola volta in misura non superiore a tre mesi.;per un periodo non superiore a dodici mesi, prorogabile anche più volte in misura non superiore ogni volta a due mesi.;
13;Il provvedimento di sorveglianza particolare, di cui all'art. 14-bis della L. n. 354/1975 e ss.mm.ii., è comunicato:;immediatamente al Magistrato di sorveglianza.;entro 72 ore al Magistrato di sorveglianza.;entro sette giorni al Magistrato di sorveglianza.;entro 72 ore al Provveditore regionale dell'Amministrazione penitenziaria.;
14;A norma della L. n. 354/1975 e ss.mm.ii., il provvedimento di sorveglianza particolare, di cui all'art. 14-bis della L. n. 354/1975 e ss.mm.ii., è comunicato:;al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria.;al Consiglio di disciplina dell'istituto.;al Capo del Dipartimento dell'Amministrazione penitenziaria, salvo i casi espressamente previsti dalla normativa.;
15;A norma della L. n. 354/1975 e ss.mm.ii., avverso il provvedimento che dispone il regime di sorveglianza particolare:;l'interessato può proporre reclamo al Tribunale di sorveglianza.;l'interessato può proporre reclamo al Consiglio di disciplina dell'istituto.;l'interessato può proporre reclamo al Magistrato di sorveglianza, salvo i casi espressamente previsti dalla medesima normativa.;non può essere proposto reclamo dall'interessato.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
16;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., avverso il provvedimento che dispone o proroga il regime di sorveglianza particolare può essere proposto dall' interessato reclamo al Tribunale di sorveglianza:;nel termine di dieci giorni dalla comunicazione del provvedimento definitivo.;nel termine di trenta giorni dalla comunicazione del provvedimento definitivo.;nel termine di trenta giorni dalla comunicazione del provvedimento definitivo al Magistrato di sorveglianza.;nel termine di sette giorni dalla comunicazione del provvedimento provvisorio.;
17;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii. e con specifico riferimento alla fattispecie del regime di sorveglianza particolare, quale, tra le seguenti affermazioni, è corretta?;Il reclamo proposto dall'interessato al Tribunale di sorveglianza, nel termine di dieci giorni dalla comunicazione del provvedimento definitivo, non sospende l'esecuzione del provvedimento.;Il reclamo proposto dall'interessato al Tribunale di sorveglianza, nel termine di quindici giorni dalla comunicazione del provvedimento definitivo, sospende l'esecuzione del provvedimento.;Nei confronti degli imputati il regime di sorveglianza particolare è disposto senza necessità di sentire anche l'autorità giudiziaria che procede.;Il periodo di regime di sorveglianza particolare a cui un detenuto può essere sottoposto non può superare, complessivamente, i dodici mesi.;
18;A norma della L. n. 354/1975 e ss.mm.ii., l'interessato può opporre reclamo avverso il provvedimento che proroga il regime di sorveglianza particolare a cui è sottoposto?;Sì, ma il reclamo non sospende l'esecuzione del provvedimento.;Sì, e il reclamo sospende l'esecuzione del provvedimento.;Sì, ma soltanto nel caso in cui il provvedimento sia stato disposto dall'Amministrazione in caso di necessità ed urgenza.;No, in nessun caso.;
19;A norma dell'art. 16 della L. n. 354/1975 e ss.mm.ii., la Commissione che predispone e modifica il regolamento interno dell'istituto è presieduta:;dal Magistrato di sorveglianza.;dal direttore dell'istituto.;dal Provveditore regionale territorialmente competente.;da un esperto nominato dal Capo dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
20;A norma dell'art. 16 della L. n. 354/1975 e ss.mm.ii., il regolamento interno dell'istituto è approvato:;dal Ministero della giustizia.;dal Consiglio di disciplina dell'istituto.;dal Comitato Unico di Garanzia dell'Amministrazione penitenziaria.;dal Provveditore regionale dell'Amministrazione penitenziaria.;
21;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., è possibile prevedere, nei confronti dei singoli detenuti, limitazioni nella corrispondenza epistolare e telegrafica e nella ricezione della stampa?;Sì, per esigenze attinenti le indagini o investigative o di prevenzione dei reati, per un periodo non superiore a sei mesi, prorogabile.;Sì, per esigenze attinenti le indagini o investigative o di prevenzione dei reati, per un periodo non superiore a tre mesi, prorogabile.;Sì, per esigenze attinenti le indagini o investigative o di prevenzione dei reati, per un periodo non superiore a due mesi, prorogabili.;No, in nessun caso.;
22;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., per ragioni di sicurezza o di ordine dell'istituto, può essere disposta nei confronti del singolo detenuto la sottoposizione della propria corrispondenza a visto di controllo:;per un periodo non superiore a sei mesi, prorogabile per periodi non superiori a tre mesi.;per un periodo non superiore a dodici mesi, prorogabile per periodi non superiori a sei mesi.;per un periodo non superiore a sei mesi, prorogabile per periodi non superiore ad un mese.;per un periodo non superiore a sei mesi, prorogabile, per una sola volta, per un periodo di tempo non superiore a due mesi.;
23;A norma della L. n. 354/1975 e ss.mm.ii., il provvedimento che, per esigenze attinenti le indagini, impone nei confronti del singolo detenuto una limitazione nella corrispondenza epistolare e telegrafica e nella ricezione della stampa, è adottato:;con decreto motivato, su richiesta del Pubblico Ministero o su proposta del direttore dell'istituto.;con decreto motivato, su richiesta del Consiglio di disciplina dell'istituto.;con provvedimento del direttore dell'istituto, su richiesta del Consiglio di disciplina dell'istituto.;con decreto motivato, su richiesta del Pubblico ministero o su proposta del Provveditore regionale dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
24;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., il provvedimento che, per esigenze attinenti le indagini, impone nei confronti dei condannati e degli internati il controllo del contenuto delle buste che racchiudono la corrispondenza, senza lettura della medesima, è adottato:;con decreto motivato, dal Magistrato di sorveglianza.;con decreto motivato, dal Giudice per le Indagini Preliminari.;con provvedimento motivato del Capo dell'Amministrazione penitenziaria.;con provvedimento motivato del direttore dell'istituto.;
25;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., il provvedimento che, per esigenze attinenti le indagini, impone nei confronti del singolo detenuto una limitazione nella corrispondenza epistolare e telegrafica, è adottato, con decreto motivato, su proposta:;del direttore dell'istituto.;del Capo educatore dell'istituto.;del Comandante del reparto.;del Consiglio di disciplina, salvo i casi espressamente previsti.;
