N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
1;Se il Sostituto Procuratore di turno, secondo il codice di procedura penale, ritiene insussistenti le condizioni che hanno portato all’accompagnamento in ufficio per l’identificazione:;ordina l’immediato rilascio della persona accompagnata.;iscrive gli agenti e gli ufficiali di polizia giudiziaria operanti nel registro degli indagati per sequestro di persona.;si reca immediatamente sul posto per verificare il rispetto delle normative di legge.;deferisce gli Ufficiali di Polizia Giudiziaria alla commissione distrettuale di disciplina.
2;A norma del Codice di Procedura Penale, l’indagato ed i potenziali testimoni possono essere accompagnati negli uffici di Polizia per essere identificati?;Sì, ma solo se rifiutano di farsi identificare o vi sono dubbi sulle generalità fornite.;Sì, ma solo gli indagati.;No.;Sì, previa autorizzazione del Pubblico Ministero.
3;L’obbligo di dimora, secondo l'art. 283 c.p.p., è:;un provvedimento del Giudice che dispone l’obbligo per l’imputato di non allontanarsi dal territorio del comune di dimora abituale ovvero l’obbligo di dimorare in un comune indicato dal Giudice.;un provvedimento del Giudice che dispone esclusivamente l’obbligo di soggiornare per l’imputato nel territorio del comune di dimora abituale.;un provvedimento del Giudice che dispone l’obbligo di dimora per l’imputato nel territorio di un qualsiasi comune della regione di appartenenza.;un provvedimento del Giudice che dispone l’obbligo di fissare la residenza nel comune indicato dal Giudice.
4;In base all'art. 394 c.p.p., la persona offesa dal reato può presentare richiesta di incidente probatorio?;No, ma può chiedere al Pubblico Ministero di promuoverla.;Sì, sempre, direttamente al Giudice delle indagini preliminari.;Sì, ma la richiesta deve essere presentata al Pubblico Ministero che deve poi notificarla al Giudice delle indagini preliminari.;Sì, ma solo durante l’udienza preliminare.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
5;Se l’imputato non ha commesso il fatto, il Giudice dell’udienza preliminare, ai sensi dell'art. 425 c.p.p.:;pronuncia sentenza di non luogo a procedere.;pronuncia sentenza di assoluzione.;pronuncia sentenza di archiviazione.;restituisce gli atti al Pubblico Ministero affinché proceda all’archiviazione.
6;Il Giudice, se ricorrono le condizioni per accogliere la richiesta di applicazione della pena prevista dall’art. 444 c.p.p.:;pronuncia immediatamente sentenza.;pronuncia sentenza entro cinque giorni.;pronuncia immediatamente ordinanza.;pronuncia immediatamente decreto di condanna.
7;Ai sensi dell'art. 431 c.p.p., compete formare il fascicolo per il dibattimento, dopo che è stato emanato il decreto che dispone il giudizio:;al Giudice dell’udienza preliminare, immediatamente dopo l’emissione del decreto che dispone il giudizio.;al Pubblico Ministero.;al Giudice delle indagini preliminari.;al Giudice del dibattimento, almeno 15 giorni prima dell’udienza dibattimentale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
8;Quali sono gli effetti dell’applicazione della pena su richiesta delle parti in base alle previsioni del codice di procedura penale?;il reato è estinto, se nel termine di cinque anni, quando la sentenza concerne un delitto, ovvero di due anni, quando la sentenza concerne una contravvenzione, l’imputato non commette un delitto ovvero una contravvenzione della stessa indole.;il reato è estinto, se nel termine di due anni, quando la sentenza concerne un delitto o una contravvenzione, l’imputato non commette un delitto ovvero una contravvenzione della stessa indole.;il reato è estinto, se nel termine di tre anni, quando la sentenza concerne un delitto, ovvero di due anni, quando la sentenza concerne una contravvenzione, l’imputato non commette un delitto ovvero una contravvenzione anche di diversa indole.;il reato è estinto, se nel termine di cinque anni, quando la sentenza concerne un delitto, ovvero di due anni, quando la sentenza concerne una contravvenzione, l’imputato non commette un delitto ovvero una contravvenzione anche di diversa indole.
