N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
1;Nella scienza dell'organizzazione, a cosa si riferisce il noto modello di Tuckman?;Un modello comportamentale dell'individuo sul lavoro.;Un modus operandi del gruppo.;Un esempio da seguire sul lavoro.;Uno schema di come dovrebbero regolarsi i gruppi sul lavoro.
2;Nella scienza dell'organizzazione, il modello di Tuckman suppone:;che i membri del team siano nuovi l’uno per l’altro.;che i membri del team inizialmente affronteranno una dinamica individuale.;che i membri del team inizialmente affronteranno una dinamica di gruppo già conosciuta.;che i membri del team dovranno evolversi sia individualmente sia nel gruppo.
3;Qual è il modello che enfatizza l'evoluzione del gruppo?;Il modello di Tuckman.;Il modello di Weber.;Il modello di Taylor.;Il modello di Simon.
4;Quante e quali sono le fasi previste dal modello di Tuckman?;"Inizialmente erano quattro: Forming, Storming, Norming, Performing; successivamente si aggiunse una quinta, Adjourning.";"Inizialmente erano quattro: Forming, Storming, Adjourning, Performing; successivamente si è aggiunta una quinta, Norming.";"Inizialmente erano tre: Forming, Storming, Norming; successivamente si aggiunsero Performing e Adjourning.";"Inizialmente erano tre: Forming, Performing, Norming; successivamente si aggiunsero Storming e Adjourning."
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
5;Nel modello Tuckman, affinché un gruppo si sviluppi deve inevitabilmente attraversare quali fasi, prima di iniziare ad ottenere risultati?;Forming, Storming, Norming, Performing e Adjourning.;Forming, Storming, Norming e Performing.;Storming, Norming, Performing e Adjourning.;Forming, Adjourning, Performing e Storming.
6;Cos’è il Brainstorming?;È uno scambio di idee fra i membri di un team di lavoro, guidato da un conduttore il cui fine è quello di generare soluzioni condivise, stimolando la creatività di tutte le risorse coinvolte.;È il più comune degli assesment, utilizzato per valutare le abilità, le competenze e il potenziale di un singolo candidato o dipendente.;È un assesment center, che unisce diversi strumenti di valutazione, quali simulazioni, giochi di ruolo e interviste.;È un approccio di valutazione con test psicometrici.
7;Parlando di teorie organizzative, le principali scuole classiche, che si sono affermate alla fine del XIX secolo, si concentrano su due principali approcci teorici:;lo scientific management di Taylor (1911) e la teoria di Fayol (1916).;lo scientific management di Taylor (1911) e lo “Human Relations Movement” Mayo (1924).;la teoria di Fayol (1916) e lo “Human Relations Movement” Mayo (1924).;La teoria delle norme e sulle regole di Weber (1905) e la teoria della direzione aziendale di Fayol (1916).
8;Il concetto di leadership trasformazionale è stato introdotto da:;James MacGregor Burns, nel 1978.;Bruce Tuckman, nel 1965.;Max Weber nel 1905.;Henry Mintzberg, nel 1968.
